word_index	gloss
1	to love; to be fond of
2	eight
3	dad; father
4	particle for suggestions or guesses
5	daytime
6	hundred
7	half
8	steamed stuffed bun
9	cup; glass
10	classifier for books
11	side; edge
12	illness; to be sick
13	not
14	you're welcome
15	don't
16	vegetable; a dish of food
17	tea
18	to sing
19	supermarket
20	car; vehicle
21	to eat
22	taxi
23	to wear; to put on
24	to make a phone call
25	big; large
26	everyone
27	university
28	college student
29	to arrive; to reach
30	particle marking possession, like 's
31	prefix for ordinal numbers
32	younger brother
33	o'clock; a little
34	shop; store
35	telephone; phone call
36	computer
37	television; TV
38	movie; film
39	movie theater; cinema
40	thing; stuff
41	all; both
42	to read
43	to study; to read a book
44	right; towards
45	I'm sorry; excuse me
46	many; how (before an adjective)
47	how much; how many
48	son
49	two
50	cooked rice; a meal
51	restaurant; hotel
52	room
53	very; extremely
54	airplane
55	minute; cent (money)
56	minute
57	happy; glad
58	song
59	older brother
60	general classifier for people or things
61	to give; for
62	company
63	to work; job
64	dog
65	expensive
66	country; nation
67	still; also
68	child
69	Chinese (language)
70	Chinese character
71	good; fine
72	tasty; delicious
73	good-looking; nice
74	pleasant to hear
75	fun; amusing
76	day of the month; number
77	to drink
78	and; with
79	very
80	after; behind
81	to return; to go back
82	can; to know how to
83	train
84	egg
85	how many; several
86	home; family
87	family member
88	to see; to meet
89	classifier for events, items, clothes
90	dumpling
91	to be called; to call
92	older sister
93	this year
94	today
95	nine
96	to feel; to think
97	to open; to turn on
98	to drive (a car)
99	to look at; to watch
100	to see a doctor
101	to see; to catch sight of
102	can; may
103	class; lesson
104	mouth; classifier for family members
105	piece; yuan (money)
106	to come
107	teacher
108	particle marking a completed action
109	cold
110	inside; in
111	two (before a measure word)
112	zero
113	six
114	mom; mother
115	particle for yes-no questions
116	to buy
117	to sell
118	busy
119	cat
120	it doesn't matter
121	it's nothing; never mind
122	to not have; there isn't
123	younger sister
124	plural suffix for people
125	cooked rice
126	bread
127	noodles
128	next year
129	tomorrow
130	name
131	which
132	which one
133	where
134	where
135	which ones
136	that
137	over there
138	that one; that
139	there
140	there
141	those
142	male
143	boyfriend
144	particle for follow-up questions
145	can; to be able to
146	you
147	hello; hi
148	you (plural)
149	year
150	you (polite)
151	milk
152	female
153	daughter
154	girlfriend
155	lady; Ms.
156	friend
157	cheap; inexpensive
158	pretty; beautiful
159	apple
160	seven
161	to get up
162	thousand
163	front; before
164	money
165	please; to invite
166	excuse me, may I ask
167	to go
168	last year
169	hot
170	person; people
171	to know; to recognize
172	day; date
173	three
174	store; shop
175	up; above
176	to go to work
177	to attend class
178	morning
179	to go to school
180	few; to be missing
181	who
182	what
183	to get sick
184	ten
185	time; moment
186	time
187	matter; thing
188	to be
189	cell phone
190	book
191	bookstore
192	water
193	fruit
194	to sleep; to lie down
195	to go to bed; to sleep
196	to speak; to say
197	to speak; to talk
198	four
199	years old (age)
200	he; him
201	it
202	she
203	they; them
204	they; them (things)
205	they; them (females)
206	too; extremely
207	day; sky
208	weather
209	to listen; to hear
210	to hear
211	classmate
212	outside
213	outside
214	to play; to have fun
215	late; evening
216	dinner
217	evening; night
218	hey; hello (on the phone)
219	to ask
220	question; problem
221	I; me
222	we; us
223	five
224	lunch
225	to like
226	under; below
227	to rain
228	to get off work
