word_index	level	word	pinyin	part_of_speech	pinyin_numbered	pinyin_cc-cedict	traditional_cc-cedict	definition_cc-cedict
1	1	爱	ài	动	ai4	ai4	愛	to love; to be fond of; to like/affection/to be inclined (to do sth); to tend to (happen)
2	1	八	bā	数	ba1	ba1	八	eight
3	1	爸爸	bàba	名	ba4 ba5	ba4 ba5	爸爸	(coll.) father; dad/CL:個|个[ge4],位[wei4]
4	1	吧	ba	助	ba5	ba5	吧	(modal particle indicating suggestion or surmise)/...right?/...OK?/...I presume.
5	1	白天	báitiān	名	bai2 tian1	bai2 tian1	白天	daytime/during the day/day/CL:個|个[ge4]
6	1	百	bǎi	数	bai3	bai3	百	hundred/numerous/all kinds of/surname Bai
7	1	半	bàn	数	ban4	ban4	半	half/semi-/incomplete/(after a number) and a half
7	4	半	bàn	副	ban4	ban4	半	half/semi-/incomplete/(after a number) and a half
8	1	包子	bāozi	名	bao1 zi5	bao1 zi5	包子	baozi; bao (steamed stuffed bun)/CL:個|个[ge4]
9	1	杯子	bēizi	名	bei1 zi5	bei1 zi5	杯子	cup/glass/CL:個|个[ge4],隻|只[zhi1]
10	1	本1	běn	量	ben3	ben3	本	(bound form) root; stem/(bound form) origin; source/(bound form) one's own; this/(bound form) this; the current (year etc)/(bound form) original/(bound form) inherent/originally; initially/capital; principal/classifier for books, periodicals, files etc
11	1	边	biān	名、后缀	bian1	bian1	邊	side/edge/margin/border/boundary/CL:個|个[ge4]/simultaneously
12	1	病	bìng	名、动	bing4	bing4	病	illness/CL:場|场[chang2]/disease/to fall ill/defect
13	1	不	bù	副	bu4	bu4	不	no; not so/(bound form) not; un-
14	1	不客气	búkèqi		bu2 ke4 qi5	bu4 ke4 qi5	不客氣	you're welcome/don't mention it/impolite/rude/blunt
15	1	不要	búyào	副	bu2 yao4	bu4 yao4	不要	don't!; must not
16	1	菜	cài	名	cai4	cai4	菜	vegetable; greens (CL:棵[ke1])/dish (of food) (CL:樣|样[yang4],道[dao4],盤|盘[pan2])/(of one's skills etc) weak; poor/(coll.) (one's) type
17	1	茶	chá	名	cha2	cha2	茶	tea/tea plant/CL:杯[bei1],壺|壶[hu2]
18	1	唱	chàng	动	chang4	chang4	唱	to sing/to call loudly/to chant
19	1	超市	chāoshì	名	chao1 shi4	chao1 shi4	超市	supermarket (abbr. for 超級市場|超级市场[chao1 ji2 shi4 chang3])/CL:家[jia1]
20	1	车	chē	名	che1	che1	車	car/vehicle/CL:輛|辆[liang4]/machine/to shape with a lathe/Kangxi radical 159/surname Che
21	1	吃	chī	动	chi1	chi1	吃/喫	to eat; to consume/to eat at (a cafeteria etc)/to eradicate; to destroy/to absorb/to suffer (shock, injury, defeat etc)/variant of 吃[chi1]
22	1	出租车	chūzūchē	名	chu1 zu1 che1	chu1 zu1 che1	出租車	taxi/(Tw) rental car
23	1	穿	chuān	动	chuan1	chuan1	穿	to wear/to put on/to dress/to bore through/to pierce/to perforate/to penetrate/to pass through/to thread
24	1	打电话	dǎdiànhuà		da3 dian4 hua4	da3 dian4 hua4	打電話	to make a telephone call
25	1	大	dà	形	da4	da4	大	big; large; great/older (than another person)/eldest (as in 大姐[da4 jie3])/greatly; freely; fully/(dialect) father/(dialect) uncle (father's brother)
26	1	大家	dàjiā	代	da4 jia1	da4 jia1	大家	everyone/influential family/great expert
27	1	大学	dàxué	名	da4 xue2	da4 xue2	大學	the Great Learning, one of the Four Books 四書|四书[Si4 shu1] in Confucianism/university/college/CL:所[suo3]
28	1	大学生	dàxuéshēng	名	da4 xue2 sheng1	da4 xue2 sheng1	大學生	university student; college student
29	1	到	dào	动	dao4	dao4	到	to reach; to arrive/to leave for; to go to/to (a place); until (a time); up to (a point)/(verb complement indicating arriving at a place or reaching a point)/considerate; thoughtful; thorough
